OrderID,CustomerID,ProductID,OrderDate,Quantity
1,73,15,2025-02-21,5
2,28,3,2025-09-17,5
3,45,9,2025-02-05,2
4,48,29,2025-05-26,2
5,70,6,2025-12-27,4
6,84,10,2025-09-28,5
7,39,1,2025-12-06,5
8,34,4,2025-03-01,2
9,96,29,2025-10-11,1
10,37,5,2025-11-06,3
11,27,7,2025-12-18,3
12,65,21,2025-09-08,3
13,12,9,2025-11-21,1
14,6,14,2025-01-02,3
15,82,11,2025-05-15,2
16,71,6,2025-12-28,4
17,2,14,2025-02-27,5
18,70,3,2025-01-19,2
19,75,27,2025-10-10,3
20,17,5,2025-01-22,4
21,6,10,2025-07-03,3
22,86,7,2025-02-22,2
23,53,12,2025-11-14,5
24,31,24,2025-03-25,2
25,53,26,2025-01-13,2
26,53,6,2025-12-09,3
27,35,28,2025-03-23,2
28,49,26,2025-01-20,1
29,29,28,2025-04-13,4
30,45,27,2025-06-06,4
31,29,27,2025-01-13,2
32,52,22,2025-06-18,2
33,99,9,2025-05-23,1
34,52,12,2025-12-14,5
35,43,27,2025-01-15,5
36,23,4,2025-10-25,3
37,14,9,2025-11-02,1
38,94,14,2025-06-10,3
39,66,14,2025-03-01,5
40,25,13,2025-05-11,5
41,1,2,2025-09-24,4
42,88,30,2025-12-10,5
43,56,7,2025-02-05,3
44,80,22,2025-06-10,3
45,93,22,2025-06-03,1
46,86,17,2025-07-29,3
47,90,11,2025-06-01,4
48,25,18,2025-08-04,2
49,87,22,2025-03-31,4
50,39,20,2025-07-27,5
51,39,18,2025-05-27,1
52,75,7,2025-11-07,4
53,60,21,2025-08-15,3
54,66,15,2025-08-31,2
55,85,26,2025-02-13,2
56,85,10,2025-11-21,5
57,12,20,2025-05-01,3
58,29,22,2025-04-12,3
59,6,5,2025-05-06,1
60,99,16,2025-02-07,5
61,81,15,2025-10-22,4
62,64,7,2025-07-24,4
63,84,8,2025-12-19,2
64,100,1,2025-08-06,1
65,90,8,2025-09-23,2
66,72,15,2025-05-08,1
67,59,30,2025-03-10,1
68,86,26,2025-09-29,4
69,41,18,2025-08-15,5
70,55,20,2025-10-08,5
71,96,15,2025-09-01,2
72,97,15,2025-05-07,3
73,99,27,2025-09-24,3
74,36,16,2025-08-14,2
75,31,3,2025-05-20,3
76,70,11,2025-02-11,3
77,30,5,2025-07-16,2
78,91,23,2025-04-20,2
79,53,3,2025-06-19,4
80,54,18,2025-02-01,4
81,50,7,2025-10-27,4
82,98,23,2025-10-22,1
83,1,13,2025-06-30,4
84,54,10,2025-10-03,4
85,78,24,2025-04-23,5
86,35,16,2025-08-12,2
87,50,16,2025-06-22,1
88,93,22,2025-03-26,4
89,17,27,2025-11-15,4
90,51,18,2025-10-31,1
91,11,19,2025-11-26,1
92,60,14,2025-04-04,2
93,49,2,2025-06-17,3
94,42,7,2025-06-22,4
95,36,25,2025-08-04,4
96,61,9,2025-01-10,1
97,7,24,2025-06-29,5
98,100,8,2025-11-30,1
99,32,2,2025-04-13,1
100,80,27,2025-03-20,1
101,61,8,2025-12-09,2
102,28,4,2025-08-27,5
103,99,23,2025-07-08,3
104,78,6,2025-02-28,5
105,40,25,2025-02-25,2
106,40,19,2025-10-22,1
107,51,22,2025-04-12,4
108,89,3,2025-11-18,5
109,90,8,2025-06-04,1
110,16,28,2025-10-17,5
111,45,26,2025-09-30,1
112,9,14,2025-09-17,3
113,2,21,2025-08-04,3
114,14,27,2025-08-10,4
115,91,12,2025-03-20,4
116,94,14,2025-09-25,2
117,79,21,2025-10-03,3
118,60,25,2025-08-12,4
119,35,27,2025-06-15,5
120,12,28,2025-05-23,2
121,32,29,2025-08-26,4
122,86,19,2025-07-14,5
123,64,11,2025-06-16,1
124,28,6,2025-07-01,4
125,44,26,2025-05-24,3
126,90,29,2025-05-22,5
127,67,18,2025-04-08,1
128,93,3,2025-07-28,2
129,98,16,2025-05-04,5
130,83,23,2025-12-31,4
131,3,16,2025-02-17,4
132,52,10,2025-12-21,2
133,85,8,2025-10-25,3
134,71,12,2025-09-29,4
135,96,12,2025-10-09,4
136,90,11,2025-08-21,3
137,33,9,2025-04-29,3
138,41,4,2025-03-03,2
139,98,24,2025-12-20,5
140,28,6,2025-09-05,2
141,98,9,2025-09-26,5
142,13,20,2025-04-10,3
143,47,10,2025-04-02,2
144,91,10,2025-10-01,1
145,6,5,2025-01-28,3
146,90,18,2025-03-06,3
147,14,21,2025-01-07,4
148,61,19,2025-09-03,3
149,24,15,2025-01-27,3
150,15,9,2025-02-03,4
151,10,13,2025-10-23,4
152,20,21,2025-03-18,1
153,39,26,2025-02-13,5
154,72,8,2025-08-02,1
155,80,20,2025-04-26,5
156,49,25,2025-08-19,5
157,39,30,2025-10-29,4
158,73,14,2025-11-14,3
159,95,2,2025-02-20,5
160,81,25,2025-04-19,2
161,21,9,2025-05-03,1
162,10,6,2025-03-22,5
163,58,1,2025-12-19,4
164,38,20,2025-01-17,4
165,91,8,2025-05-25,3
166,10,23,2025-12-18,4
167,81,8,2025-10-29,3
168,55,22,2025-02-28,2
169,83,18,2025-03-18,2
170,19,30,2025-02-06,3
171,40,2,2025-11-01,2
172,37,24,2025-08-13,5
173,89,4,2025-06-05,4
174,35,23,2025-09-14,4
175,57,18,2025-02-11,4
176,56,20,2025-06-15,1
177,4,20,2025-02-16,3
178,76,8,2025-01-11,5
179,74,25,2025-01-21,3
180,61,25,2025-09-23,2
181,36,21,2025-04-03,4
182,82,19,2025-09-09,4
183,45,3,2025-07-29,4
184,86,11,2025-02-23,3
185,43,28,2025-07-30,2
186,37,23,2025-12-06,4
187,5,13,2025-08-21,5
188,33,3,2025-06-15,3
189,66,4,2025-01-01,4
190,60,22,2025-07-31,5
191,67,2,2025-07-05,2
192,81,20,2025-08-15,4
193,27,25,2025-05-17,1
194,37,18,2025-08-13,2
195,16,29,2025-01-15,4
196,31,21,2025-12-30,5
197,71,6,2025-01-08,3
198,12,18,2025-04-26,4
199,60,27,2025-03-02,1
200,64,21,2025-05-30,2
201,54,17,2025-09-05,3
202,59,16,2025-10-10,2
203,25,5,2025-11-03,4
204,9,17,2025-05-22,2
205,44,25,2025-09-17,4
206,37,9,2025-06-02,1
207,75,27,2025-12-04,5
208,58,16,2025-10-03,2
209,43,16,2025-10-10,3
210,49,25,2025-08-22,5
211,25,30,2025-12-24,3
212,50,8,2025-04-30,5
213,6,28,2025-06-12,4
214,91,24,2025-07-15,4
215,64,13,2025-01-19,2
216,76,5,2025-06-19,5
217,57,28,2025-02-21,1
218,2,17,2025-03-15,4
219,10,14,2025-08-29,2
220,44,26,2025-11-16,3
221,84,23,2025-02-11,4
222,87,28,2025-10-01,3
223,81,13,2025-09-07,3
224,5,28,2025-11-13,5
225,81,3,2025-12-17,2
226,30,30,2025-02-16,3
227,98,14,2025-11-21,1
228,57,23,2025-03-27,1
229,4,23,2025-01-24,3
230,38,11,2025-07-03,1
231,19,12,2025-05-06,4
232,73,17,2025-12-16,4
233,22,26,2025-03-31,2
234,49,3,2025-11-14,5
235,64,22,2025-10-26,2
236,60,5,2025-11-23,2
237,33,9,2025-12-08,4
238,37,1,2025-12-13,4
239,10,18,2025-08-15,2
240,39,12,2025-11-24,5
241,59,14,2025-06-04,3
242,62,7,2025-02-24,4
243,74,8,2025-07-03,4
244,90,19,2025-06-01,3
245,36,1,2025-01-05,4
246,78,19,2025-09-12,1
247,100,27,2025-04-28,3
248,29,20,2025-11-22,3
249,33,7,2025-12-14,5
250,81,25,2025-02-19,2
251,40,29,2025-08-14,1
252,47,2,2025-03-09,5
253,42,3,2025-08-01,3
254,17,6,2025-10-04,2
255,68,29,2025-09-14,3
256,22,30,2025-05-12,3
257,38,30,2025-06-23,4
258,60,26,2025-02-08,1
259,87,5,2025-12-12,2
260,47,13,2025-02-16,5
261,2,26,2025-05-16,4
262,59,18,2025-07-08,1
263,75,22,2025-07-15,3
264,14,27,2025-12-12,3
